LAST SEEN   TYPE      REASON                 OBJECT                                                                   MESSAGE
54m         Warning   PolicyViolation        clusterpolicy/add-namespace-cost-label-deny                              Pod vcluster-00/nginx-deployment-7bb44d575b-76tn8-x-default-x-vcluster-00: [add-namespace-cost-label-deny-00] fail
54m         Warning   PolicyViolation        clusterpolicy/add-namespace-cost-label-deny                              Pod vcluster-00/nginx-deployment-7bb44d575b-b9nsb-x-default-x-vcluster-00: [add-namespace-cost-label-deny-00] fail
54m         Warning   PolicyViolation        clusterpolicy/add-namespace-cost-label-deny                              Pod vcluster-00/nginx-deployment-7bb44d575b-p7jhr-x-default-x-vcluster-00: [add-namespace-cost-label-deny-00] fail
54m         Warning   PolicyViolation        clusterpolicy/add-namespace-cost-label-deny                              Pod vcluster-00/nginx-deployment-7bb44d575b-tdz7w-x-default-x-vcluster-00: [add-namespace-cost-label-deny-00] fail
54m         Warning   PolicyViolation        clusterpolicy/add-namespace-cost-label-deny                              Pod vcluster-00/nginx-deployment-7bb44d575b-x5w2p-x-default-x-vcluster-00: [add-namespace-cost-label-deny-00] fail
54m         Warning   PolicyViolation        clusterpolicy/add-namespace-cost-label-deny                              Pod vcluster-00/nginx-deployment-855ccf6c5f-8wx4x-x-vcluster-00-x-vcluster-00: [add-namespace-cost-label-deny-00] fail
53m         Warning   PolicyViolation        clusterpolicy/add-namespace-cost-label-deny                              (combined from similar events): Pod vcluster-00/coredns-56bfc489cf-k57tp-x-kube-system-x-vcluster-00: [add-namespace-cost-label-deny-00] fail
54m         Warning   PolicyViolation        clusterpolicy/add-namespace-cost-label-deny                              Pod vcluster-00/nginx-deployment-855ccf6c5f-dcf4s-x-vcluster-00-x-vcluster-00: [add-namespace-cost-label-deny-00] fail
54m         Warning   PolicyViolation        clusterpolicy/add-namespace-cost-label-deny                              Pod vcluster-00/nginx-deployment-855ccf6c5f-ffs6c-x-vcluster-00-x-vcluster-00: [add-namespace-cost-label-deny-00] fail
54m         Warning   PolicyViolation        clusterpolicy/add-namespace-cost-label-deny                              Pod vcluster-00/nginx-deployment-855ccf6c5f-ktzjt-x-vcluster-00-x-vcluster-00: [add-namespace-cost-label-deny-00] fail
10m         Warning   PolicyViolation        clusterpolicy/add-namespace-cost-label-deny                              Pod vcluster-00/coredns-56bfc489cf-mkgzq-x-kube-system-x-vcluster-00: [add-namespace-cost-label-deny-00] fail
119s        Warning   PolicyViolation        clusterpolicy/add-namespace-cost-label-deny                              (combined from similar events): Pod default/prometheus-rw-kube-prometh-admission-create-wt5nb: [add-namespace-cost-label-deny-00] fail (blocked)
13m         Normal    PolicyApplied          clusterpolicy/add-namespace-cost-label-infra                             Pod cattle-system/: pass
12m         Normal    PolicyApplied          clusterpolicy/add-namespace-cost-label                                   Pod monitoring/: pass
69s         Normal    NotTriggerScaleUp      pod/autoscaler-5c5b48d5cf-wtc9v                                          pod didn't trigger scale-up (it wouldn't fit if a new node is added): 5 node(s) didn't match node selector
6m44s       Warning   FailedScheduling       pod/autoscaler-5c5b48d5cf-wtc9v                                          0/28 nodes are available: 1 Too many pods, 1 node(s) had untolerated taint {virtual-kubelet.io/provider: alibabacloud}, 2 node(s) had untolerated taint {autoscaler: }, 2 node(s) had untolerated taint {ebpf-test-used: true}, 26 node(s) didn't match Pod's node affinity/selector. preemption: 0/28 nodes are available: 28 Preemption is not helpful for scheduling.,
3m50s       Normal    ExternalProvisioning   persistentvolumeclaim/etcd-data-etcd-0                                   waiting for a volume to be created, either by external provisioner "diskplugin.csi.alibabacloud.com" or manually created by system administrator
2m16s       Normal    Provisioning           persistentvolumeclaim/etcd-data-etcd-0                                   External provisioner is provisioning volume for claim "default/etcd-data-etcd-0"
119s        Warning   FailedCreate           job/prometheus-rw-kube-prometh-admission-create                          (combined from similar events): Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
3m20s       Normal    WaitForFirstConsumer   persistentvolumeclaim/pulsar-bookkeeper-journal-pulsar-bookkeeper-0      waiting for first consumer to be created before binding
3m20s       Normal    WaitForFirstConsumer   persistentvolumeclaim/pulsar-bookkeeper-ledgers-pulsar-bookkeeper-0      waiting for first consumer to be created before binding
3m20s       Normal    WaitForFirstConsumer   persistentvolumeclaim/pulsar-zookeeper-data-pulsar-zookeeper-0           waiting for first consumer to be created before binding
2m11s       Warning   SnapshotDeleteError    volumesnapshotcontent/snapcontent-3c82b37e-1dca-43f5-9a84-507b261d1ce1   Failed to delete snapshot
2m11s       Warning   SnapshotDeleteError    volumesnapshotcontent/snapcontent-78968e94-3d43-4017-a7f0-79d94b96c4c5   Failed to delete snapshot
56m         Warning   SnapshotDeleteError    volumesnapshotcontent/snapshot-3c82b37e-1dca-43f5-9a84-507b261d1ce1      rpc error: code = Internal desc = failed delete snapshot: SDK.ServerError...
47m         Warning   SnapshotDeleteError    volumesnapshotcontent/snapshot-3c82b37e-1dca-43f5-9a84-507b261d1ce1      rpc error: code = Internal desc = failed delete snapshot: SDK.ServerError...
39m         Warning   SnapshotDeleteError    volumesnapshotcontent/snapshot-3c82b37e-1dca-43f5-9a84-507b261d1ce1      rpc error: code = Internal desc = failed delete snapshot: SDK.ServerError...
32m         Warning   SnapshotDeleteError    volumesnapshotcontent/snapshot-3c82b37e-1dca-43f5-9a84-507b261d1ce1      rpc error: code = Internal desc = failed delete snapshot: SDK.ServerError...
22m         Warning   SnapshotDeleteError    volumesnapshotcontent/snapshot-3c82b37e-1dca-43f5-9a84-507b261d1ce1      rpc error: code = Internal desc = failed delete snapshot: SDK.ServerError...
17m         Warning   SnapshotDeleteError    volumesnapshotcontent/snapshot-3c82b37e-1dca-43f5-9a84-507b261d1ce1      rpc error: code = Internal desc = failed delete snapshot: SDK.ServerError...
6m8s        Warning   SnapshotDeleteError    volumesnapshotcontent/snapshot-3c82b37e-1dca-43f5-9a84-507b261d1ce1      rpc error: code = Internal desc = failed delete snapshot: SDK.ServerError...
2m11s       Warning   SnapshotDeleteError    volumesnapshotcontent/snapshot-3c82b37e-1dca-43f5-9a84-507b261d1ce1      rpc error: code = Internal desc = failed delete snapshot: SDK.ServerError...
56m         Warning   SnapshotDeleteError    volumesnapshotcontent/snapshot-78968e94-3d43-4017-a7f0-79d94b96c4c5      rpc error: code = Internal desc = failed delete snapshot: SDK.ServerError...
47m         Warning   SnapshotDeleteError    volumesnapshotcontent/snapshot-78968e94-3d43-4017-a7f0-79d94b96c4c5      rpc error: code = Internal desc = failed delete snapshot: SDK.ServerError...
39m         Warning   SnapshotDeleteError    volumesnapshotcontent/snapshot-78968e94-3d43-4017-a7f0-79d94b96c4c5      rpc error: code = Internal desc = failed delete snapshot: SDK.ServerError...
